Time,leRatio,reRatio,Ratio
1.718096108912235e+18,2.7757208675440643,2.947020784936767,2.8613708262404156
1.718096108958234e+18,3.129916946261951,3.0302610039111846,3.080088975086568
1.718096108979234e+18,2.9427877939124323,2.9406224296860355,2.9417051117992337
1.7180961090112333e+18,2.9427877939124323,2.9406224296860355,2.9417051117992337
1.7180961090432346e+18,2.9427877939124323,2.9406224296860355,2.9417051117992337
1.718096109075234e+18,2.9339393313427595,2.9406224296860355,2.9372808805143977
1.7180961091037732e+18,2.881227271187626,3.095794180148192,2.988510725667909
1.7180961091227738e+18,2.9427877939124323,2.872138633121468,2.9074632135169503
1.7180961091533212e+18,2.7757208675440643,2.9988582302155447,2.8872895488798047
1.7180961091812966e+18,2.9972324717356438,3.1103584201689216,3.0537954459522827
1.718096109201326e+18,2.9335659407333434,2.877271020357687,2.9054184805455154
1.718096109231331e+18,2.9972324717356438,3.1048102588233992,3.0510213652795217
1.7180961092662935e+18,2.9427877939124323,3.1103584201689216,3.0265731070406767
1.7180961093143273e+18,2.9335659407333434,2.9937148773928506,2.963640409063097
1.7180961093450573e+18,2.95296461204668,3.1048102588233992,3.0288874354350397
1.7180961093944722e+18,3.4921721424049745,3.4287166055210236,3.460444373962999
1.7180961094271168e+18,4.060541835765271,3.761257611960315,3.910899723862793
1.7180961094535872e+18,4.049691346263318,3.530033979492699,3.7898626628780083
1.7180961094866404e+18,3.6649020245178545,3.6055512754639896,3.635226649990922
1.7180961095186117e+18,3.1707504689876442,3.2931485824673774,3.2319495257275106
1.718096109548611e+18,3.063431961806135,3.0302610039111846,3.04684648285866
1.718096109583438e+18,2.9972324717356438,3.0904845721198724,3.043858521927758
1.7180961096111178e+18,2.9427877939124323,3.100488158326584,3.021637976119508
1.7180961096408494e+18,2.9972324717356438,2.9937148773928506,2.995473674564247
1.7180961096735565e+18,3.129916946261951,2.9353770381612625,3.032646992211607
1.7180961097063596e+18,2.880277764383151,2.9937148773928506,2.9369963208880008
1.718096109746188e+18,2.9972324717356438,3.166515422885486,3.081873947310565
1.7180961097785848e+18,2.9972324717356438,2.9353770381612625,2.966304754948453
1.7180961098231667e+18,2.9972324717356438,2.9353770381612625,2.966304754948453
1.7180961098454126e+18,2.9427877939124323,2.9937148773928506,2.968251335652641
1.7180961098768005e+18,2.9972324717356438,2.9937148773928506,2.995473674564247
1.7180961099084314e+18,2.7853199308944245,2.7873339895374523,2.7863269602159386
1.7180961099408154e+18,2.9972324717356438,2.872138633121468,2.934685552428556
1.718096109986868e+18,3.415938970949926,3.321462041291925,3.368700506120925
1.7180961100199201e+18,3.6649020245178545,3.530033979492699,3.597468002005277
1.7180961100528154e+18,3.465020840738421,3.467569532329303,3.466295186533862
1.7180961100838175e+18,3.515813809854289,3.3436892066592576,3.429751508256773
1.7180961101149228e+18,3.515813809854289,3.2782283501732805,3.3970210800137846
1.7180961101452529e+18,3.4576806613039834,3.4287166055210236,3.4431986334125035
1.7180961101785503e+18,2.9335659407333434,3.1103584201689216,3.0219621804511325
1.7180961102245637e+18,2.880277764383151,2.9353770381612625,2.9078274012722067
1.7180961102521462e+18,2.8712366673612957,2.9353770381612625,2.903306852761279
1.718096110284452e+18,2.880277764383151,2.9937148773928506,2.9369963208880008
1.7180961103166016e+18,3.129916946261951,3.1719556557417916,3.150936301001871
1.718096110348537e+18,2.9972324717356438,2.9406224296860355,2.9689274507108396
1.7180961103800259e+18,2.9335659407333434,2.9988582302155447,2.966212085474444
1.718096110413621e+18,2.771307824624239,2.9406224296860355,2.8559651271551374
1.7180961104426012e+18,3.1956633350438213,2.9937148773928506,3.094689106218336
1.7180961104731412e+18,2.9335659407333434,2.9353770381612625,2.934471489447303
1.7180961105024753e+18,2.9441551916519484,2.9353770381612625,2.9397661149066057
1.7180961105346368e+18,2.95296461204668,2.9353770381612625,2.9441708251039715
1.718096110578031e+18,2.9972324717356438,2.9937148773928506,2.995473674564247
1.718096110610461e+18,2.95296461204668,2.9353770381612625,2.9441708251039715
1.718096110652279e+18,2.9972324717356438,2.9937148773928506,2.995473674564247
1.71809611067631e+18,2.7613402542968153,2.9353770381612625,2.848358646229039
1.718096110707506e+18,2.9427877939124323,3.1048102588233992,3.0237990263679158
1.7180961107365545e+18,2.9972324717356438,2.9353770381612625,2.966304754948453
1.7180961107706514e+18,2.771307824624239,3.1048102588233992,2.938059041723819
1.71809611081351e+18,2.9427877939124323,2.9353770381612625,2.9390824160368476
1.7180961108335398e+18,3.1277817807392716,2.931290799873779,3.0295362903065253
1.7180961108631355e+18,3.5106979363083917,3.324912911875984,3.4178054240921876
1.7180961108985408e+18,3.820417285493054,3.6033017891627925,3.711859537327923
1.7180961109300882e+18,3.716862721859752,3.3333333333333335,3.5250980275965427
1.7180961109771968e+18,3.3797456135589754,3.1622776601683795,3.2710116368636775
1.718096111010924e+18,3.8392350836328397,3.494944083435594,3.6670895835342168
1.7180961110583572e+18,3.348254890358679,3.3541019662496843,3.3511784283041814
1.7180961110894298e+18,3.348254890358679,3.200127548478437,3.274191219418558
1.7180961111156306e+18,3.259403525218408,3.0302610039111846,3.1448322645647964
1.7180961111445125e+18,2.880277764383151,2.9937148773928506,2.9369963208880008
1.718096111178669e+18,2.880277764383151,2.9937148773928506,2.9369963208880008
1.7180961112106908e+18,2.880277764383151,2.9353770381612625,2.9078274012722067
1.7180961112512328e+18,3.129916946261951,3.1103584201689216,3.1201376832154364
1.7180961112872758e+18,2.9335659407333434,3.100488158326584,3.017027049529964
1.7180961113296182e+18,2.9427877939124323,3.1048102588233992,3.0237990263679158
1.7180961113638362e+18,2.9427877939124323,2.9937148773928506,2.968251335652641
1.7180961113944128e+18,2.7853199308944245,2.9406224296860355,2.86297118029023
1.7180961114273577e+18,2.9335659407333434,3.100488158326584,3.017027049529964
1.7180961114590712e+18,2.9427877939124323,2.9353770381612625,2.9390824160368476
1.7180961114891407e+18,3.1277817807392716,2.9353770381612625,3.0315794094502673
1.7180961115194624e+18,2.9335659407333434,2.9406224296860355,2.9370941852096895
1.7180961115579177e+18,3.415938970949926,3.4251579988481073,3.4205484848990166
1.7180961115879158e+18,3.6872605564238206,3.276263966685093,3.481762261554457
1.7180961116149207e+18,3.5459786374203413,3.536893465262332,3.5414360513413365
1.718096111652338e+18,3.395721990247663,3.0648820213923655,3.2303020058200143
1.718096111676722e+18,3.864130801268905,3.671765962717953,3.767948381993429
1.7180961117273636e+18,3.5890458342016194,3.494944083435594,3.5419949588186066
1.7180961117564915e+18,3.063431961806135,3.2931485824673774,3.1782902721367563
1.7180961117885793e+18,3.1277817807392716,3.1103584201689216,3.1190701004540964
1.7180961118186496e+18,2.9335659407333434,2.872138633121468,2.9028522869274056
1.718096111849498e+18,3.1277817807392716,3.1103584201689216,3.1190701004540964
1.718096111891452e+18,2.95296461204668,2.9353770381612625,2.9441708251039715
1.7180961119139092e+18,3.117963776763218,3.1048102588233992,3.1113870177933087
